index,channel,min,max,mean,std
0,B2_post,144.0,409.0,235.54519653320312,22.830232620239258
1,B3_pre,287.25,687.0,480.0127258300781,39.4084358215332
2,NBR_post,0.4911470413208008,0.7668418288230896,0.6702463626861572,0.024903688579797745
3,B12_pre,418.0,805.0,586.7421264648438,38.002281188964844
4,B11_pre,1028.0,1825.5,1461.9892578125,80.55717468261719
5,NBR_pre,0.5127202868461609,0.7576630115509033,0.6577838659286499,0.024896733462810516
6,B3_post,222.5,611.0,402.3551025390625,39.7894287109375
7,NDVI_post,0.713640034198761,0.9044444561004639,0.8573276996612549,0.016690179705619812
8,NDVI_pre,0.6260805130004883,0.8834880590438843,0.8203197121620178,0.020902497693896294
9,B12_post,394.0,725.5,564.9891357421875,38.29704666137695
10,dNBR,-0.10741783678531647,0.10211168974637985,0.012462515383958817,0.016650207340717316
11,dNDVI,-0.08099913597106934,0.1720099002122879,0.037008028477430344,0.01778707280755043
12,B4_post,112.0,448.0,220.1202392578125,27.238208770751953
13,B11_post,1028.0,1781.0,1413.9937744140625,79.0624771118164
14,B8_post,1500.0,4096.0,2875.873291015625,270.9558410644531
15,B2_pre,237.25,540.125,341.0209655761719,33.80958557128906
16,B4_pre,167.8333282470703,567.75,280.6194152832031,31.785009384155273
17,B8_pre,1701.0,4094.0,2855.50537109375,261.1082458496094
